	en	de	es	fr
StartPrompt	Press X or A to start	Drücke X oder A zum Starten	Presione X o A para comenzar	(F) Press X or A to start
PointsPlusTotal	Correct! You have earned {0} points - your session total is {1}! Press X or A for next level	Super! Du hast {0} Punkte erzielt - Gesamtwertung Deiner Sitzung: {1}! Weiter mit X oder A!	Correcto! Tu has ganado {0} puntos - tu sesión total es  {0}! Presione X o A para el próximo nivel	(F) Correct! You have earned {0} points - your session total is {1}! Press X or A for next level
RetryPrompt	Level failed! Press X or A to retry	Schade! Versuch es nochmal: drücke X oder A!	Lo siento! Tu nivel ha fallado! Presiona X or A para reintentar	(F) Level failed! Press X or A to retry
GameOver	Fantastic!! You won!! Your session total was {0} points	Fantastish!! Gewonnen!! Gesamtwertung deiner Sitzung: {0} Punkte	Fantastico!! Tu Has ganado! Tu sesión total fue de {0} puntos	(F) Fantastic!! You won!! Your session total was {0} points
TrackSelect	Press Y or B to select track, then start flying	Drücke Y oder B zum Wählen deines Track.	 Pulsa Y o B para seleccionar la pista de vuelo No dudes en echar un vistazo.	(F) Pull trigger to select current track
FlyPrompt	Start flying track!	Flieg' los!	Vamo' arriba!	(F) Start flying track!
NoteHit	You hit {0}	Du hast {0} Punkte	Te has impactado {0}	(F) You hit {0}
ModeLabel	Mode	Modus	Mode	(F) Mode
ModeBeginner	Beginner	Anfänger	Principiante	(F) Beginner
ModeAdvanced	Advanced	Fortgeschritten	Advanzado	(F) Advanced
SpeedLable	Speed	Geschwindigkeit	Velocidad	(F) Speed
LanguageLabel	Language	Sprache	Lenguaje	(F) Language
LanguageSelected	English	Deutsch	Español	Francais
InstructionButton	Instructions	Anleitung	Instrucciones	(F) Instructions
RestartButton	Restart	Neustart	Reanudar	(F) Restart
InstructionStick	Move either joystick to fly forward/back	Joystick  vor/zurück um forwärts/rückwärts zu fliegen	Mueva el  joystick para volar hacia adelante o atrás	(F) Move either joystick to fly forward/back
InstructionHead	Steer with your head	Lenke mit Deinem Kopf	Mueve la cabeza hacia arriba o abajopara volar más alto o mas bajo	(F) Move head up/down to fly higher/lower
InstructionRecon	Recon flying is sightseeing - notes are not collected	Der Entdeckungsflug wird nicht gewertet.	Recon está volando sobre los paisajes? Las notas no se han colectado	(F) Recon flying is sightseeing - notes are not collected
InstructionPoints	Full points on first try, half points on second try	1. Versuch: volle Punktzahl - 2. Versuch: halbe Punktzahl	Todos los puntos en la primer prueba, medio puntos en el segundo intento	(F) Full points on first try, half points on second try
InstructionButtons	Green buttons replay the hint	Die grünen Knöpfe wiederholen die zu treffenden Töne	Botones verdesc repiten las notas a tocar	(F) Red/Green buttons replay the hint
